"waterBodyId","waterBodyName","studyId","studyName","studyDates","parameterId","parameterType","parameterName","parameterUnit","parameterLimit","parameterLimitText","v","vText","k","point"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",17,"Físicoquimico","Demanda química de oxígeno","miligramos por litro",25,"<25.00",43.3,"43.30","RS-06","Matatlán"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",17,"Físicoquimico","Demanda química de oxígeno","miligramos por litro",25,"<25.00",61.01,"61.01","RS-07","Paso de Gpe."
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",17,"Físicoquimico","Demanda química de oxígeno","miligramos por litro",25,"<25.00",66.91,"66.91","RS-08","Cristóbal de la B."
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",17,"Físicoquimico","Demanda química de oxígeno","miligramos por litro",25,"<25.00",28.04,"28.04","RS-09","Camino Salvador"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",17,"Físicoquimico","Demanda química de oxígeno","miligramos por litro",25,"<25.00",43.79,"43.79","RS-10","Paso La Yesca"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",52,"Físicoquimico","Dureza de calcio","sin unidad",1.98,"<1.98",81.54,"81.54","RS-01","Ocotlán"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",52,"Físicoquimico","Dureza de calcio","sin unidad",1.98,"<1.98",84.48,"84.48","RS-02","Presa Corona"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",52,"Físicoquimico","Dureza de calcio","sin unidad",1.98,"<1.98",90.75,"90.75","AA-01","Carr. Chapala"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",52,"Físicoquimico","Dureza de calcio","sin unidad",1.98,"<1.98",83.3,"83.30","RZ-01","Río Zula"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",52,"Físicoquimico","Dureza de calcio","sin unidad",1.98,"<1.98",97.8,"97.80","RS-03","Ex-hacienda Zap."
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",52,"Físicoquimico","Dureza de calcio","sin unidad",1.98,"<1.98",90.75,"90.75","RS-04","Salto-Juanacatlán"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",52,"Físicoquimico","Dureza de calcio","sin unidad",1.98,"<1.98",89.38,"89.38","RS-05","Puente Grande"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",52,"Físicoquimico","Dureza de calcio","sin unidad",1.98,"<1.98",91.73,"91.73","AA-02","El Muelle"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",52,"Físicoquimico","Dureza de calcio","sin unidad",1.98,"<1.98",109.76,"109.76","RS-06","Matatlán"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",52,"Físicoquimico","Dureza de calcio","sin unidad",1.98,"<1.98",140.14,"140.14","RS-07","Paso de Gpe."
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",52,"Físicoquimico","Dureza de calcio","sin unidad",1.98,"<1.98",101.92,"101.92","RS-08","Cristóbal de la B."
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",52,"Físicoquimico","Dureza de calcio","sin unidad",1.98,"<1.98",87.81,"87.81","RS-09","Camino Salvador"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",52,"Físicoquimico","Dureza de calcio","sin unidad",1.98,"<1.98",113.68,"113.68","RS-10","Paso La Yesca"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",8,"Físicoquimico","Dureza total","miligramos de Carbonato de Calcio por litro",2.08,"<2.08",116.66,"116.66","RS-01","Ocotlán"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",8,"Físicoquimico","Dureza total","miligramos de Carbonato de Calcio por litro",2.08,"<2.08",135.32,"135.32","RS-02","Presa Corona"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",8,"Físicoquimico","Dureza total","miligramos de Carbonato de Calcio por litro",2.08,"<2.08",135.12,"135.12","AA-01","Carr. Chapala"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",8,"Físicoquimico","Dureza total","miligramos de Carbonato de Calcio por litro",2.08,"<2.08",129.62,"129.62","RZ-01","Río Zula"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",8,"Físicoquimico","Dureza total","miligramos de Carbonato de Calcio por litro",2.08,"<2.08",156.92,"156.92","RS-03","Ex-hacienda Zap."
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",8,"Físicoquimico","Dureza total","miligramos de Carbonato de Calcio por litro",2.08,"<2.08",143.18,"143.18","RS-04","Salto-Juanacatlán"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",8,"Físicoquimico","Dureza total","miligramos de Carbonato de Calcio por litro",2.08,"<2.08",151.62,"151.62","RS-05","Puente Grande"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",8,"Físicoquimico","Dureza total","miligramos de Carbonato de Calcio por litro",2.08,"<2.08",155.35,"155.35","AA-02","El Muelle"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",8,"Físicoquimico","Dureza total","miligramos de Carbonato de Calcio por litro",2.08,"<2.08",176.96,"176.96","RS-06","Matatlán"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",8,"Físicoquimico","Dureza total","miligramos de Carbonato de Calcio por litro",2.08,"<2.08",247.66,"247.66","RS-07","Paso de Gpe."
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",8,"Físicoquimico","Dureza total","miligramos de Carbonato de Calcio por litro",2.08,"<2.08",135.52,"135.52","RS-08","Cristóbal de la B."
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",8,"Físicoquimico","Dureza total","miligramos de Carbonato de Calcio por litro",2.08,"<2.08",121.37,"121.37","RS-09","Camino Salvador"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",8,"Físicoquimico","Dureza total","miligramos de Carbonato de Calcio por litro",2.08,"<2.08",151.03,"151.03","RS-10","Paso La Yesca"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",9,"Físicoquimico","Fluoruros","miligramos por litro",0.27,"<0.27",1.73,"1.73","RS-01","Ocotlán"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",9,"Físicoquimico","Fluoruros","miligramos por litro",0.27,"<0.27",0.6,"0.60","RS-02","Presa Corona"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",9,"Físicoquimico","Fluoruros","miligramos por litro",0.27,"<0.27",0.72,"0.72","AA-01","Carr. Chapala"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",9,"Físicoquimico","Fluoruros","miligramos por litro",0.27,"<0.27",0.47,"0.47","RZ-01","Río Zula"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",9,"Físicoquimico","Fluoruros","miligramos por litro",0.27,"<0.27",0.82,"0.82","RS-03","Ex-hacienda Zap."
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",9,"Físicoquimico","Fluoruros","miligramos por litro",0.27,"<0.27",0.7,"0.70","RS-04","Salto-Juanacatlán"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",9,"Físicoquimico","Fluoruros","miligramos por litro",0.27,"<0.27",0.68,"0.68","RS-05","Puente Grande"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",9,"Físicoquimico","Fluoruros","miligramos por litro",0.27,"<0.27",0.71,"0.71","AA-02","El Muelle"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",9,"Físicoquimico","Fluoruros","miligramos por litro",0.27,"<0.27",0.67,"0.67","RS-06","Matatlán"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",9,"Físicoquimico","Fluoruros","miligramos por litro",0.27,"<0.27",1.71,"1.71","RS-07","Paso de Gpe."
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",9,"Físicoquimico","Fluoruros","miligramos por litro",0.27,"<0.27",0.86,"0.86","RS-08","Cristóbal de la B."
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",9,"Físicoquimico","Fluoruros","miligramos por litro",0.27,"<0.27",0.91,"0.91","RS-09","Camino Salvador"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",9,"Físicoquimico","Fluoruros","miligramos por litro",0.27,"<0.27",1.64,"1.64","RS-10","Paso La Yesca"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",19,"Físicoquimico","Fósforo total","miligramos por litro",0.37,"<0.37",1.91,"1.91","RS-01","Ocotlán"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",19,"Físicoquimico","Fósforo total","miligramos por litro",0.37,"<0.37",2.24,"2.24","RS-02","Presa Corona"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",19,"Físicoquimico","Fósforo total","miligramos por litro",0.37,"<0.37",2.4,"2.40","AA-01","Carr. Chapala"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",19,"Físicoquimico","Fósforo total","miligramos por litro",0.37,"<0.37",1.87,"1.87","RZ-01","Río Zula"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",19,"Físicoquimico","Fósforo total","miligramos por litro",0.37,"<0.37",2.03,"2.03","RS-03","Ex-hacienda Zap."
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",19,"Físicoquimico","Fósforo total","miligramos por litro",0.37,"<0.37",2.43,"2.43","RS-04","Salto-Juanacatlán"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",19,"Físicoquimico","Fósforo total","miligramos por litro",0.37,"<0.37",2.54,"2.54","RS-05","Puente Grande"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",19,"Físicoquimico","Fósforo total","miligramos por litro",0.37,"<0.37",2.8,"2.80","AA-02","El Muelle"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",19,"Físicoquimico","Fósforo total","miligramos por litro",0.37,"<0.37",2.55,"2.55","RS-06","Matatlán"
